,lot_number,miles,transmission,fuel,drive,name,make,year,auction
167,67420444,26.949,Automatic,Gas,Front-wheel,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,FL - MIAMI CENTRAL
168,67800724,32.64,Automatic,Gas,Front-wheel,2023 NISSAN SENTRA SV,Nissan,2023,NJ - GLASSBORO WEST
169,67891414,118.029,Automatic,Gas,Front-wheel,2018 HYUNDAI SONATA SE,Hyundai,2018,TN - MEMPHIS
170,67980054,26.841,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED PLUS,Mazda,2024,FL - ORLANDO SOUTH
171,67980164,58.841,Automatic,Flexible,Front-wheel,2022 CHRYSLER PACIFICA TOURING L,Chrysler,2022,FL - ORLANDO SOUTH
172,68150174,27.089,Automatic,Gas,All,2023 TOYOTA RAV4 XLE,Toyota,2023,NJ - GLASSBORO WEST
173,68150214,22.088,Automatic,Gas,Front-wheel,2024 VOLKSWAGEN ATLAS SE,Volkswagen,2024,FL - ORLANDO SOUTH
174,68150264,30.035,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
175,68150274,25.867,Automatic,Gas,All,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,NJ - GLASSBORO WEST
176,68374504,88.904,Automatic,Flexible,Rear-wheel,2020 DODGE CHALLENGER SXT,Dodge,2020,AL - BIRMINGHAM
177,68391144,32.195,Automatic,Gas,All,2023 MAZDA CX-30 PREFERRED,Mazda,2023,NJ - GLASSBORO WEST
178,68391154,26.627,Automatic,Gas,Front-wheel,2023 CHEVROLET TRAILBLAZER LT,Chevrolet,2023,NJ - GLASSBORO WEST
179,68391194,31.475,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
180,64718284,20.025,Automatic,Gas,All,2023 BMW X1 XDRIVE28I,BMW,2023,FL - MIAMI CENTRAL
181,65394004,111.021,Automatic,Gas,Front-wheel,2015 CHEVROLET SONIC LTZ,Chevrolet,2015,PA - SCRANTON
182,65981374,129.586,Automatic,Gas,4x4,2017 FORD ESCAPE TITANIUM,Ford,2017,MT - HELENA
183,66156504,80.876,Automatic,Gas,All,2021 SUBARU IMPREZA PREMIUM,Subaru,2021,NC - MEBANE
184,66624664,32.11,Automatic,Gas,All,2022 LAND ROVER RANGE ROVER SPORT HSE SILVER EDITION,Land,2022,FL - MIAMI CENTRAL
185,66624724,28.07,Automatic,Gas,Front-wheel,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
186,67109364,131.42,Automatic,Flexible,Rear-wheel,2016 CHRYSLER 300 S,Chrysler,2016,AL - MONTGOMERY
187,67420444,26.949,Automatic,Gas,Front-wheel,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,FL - MIAMI CENTRAL
188,67800724,32.64,Automatic,Gas,Front-wheel,2023 NISSAN SENTRA SV,Nissan,2023,NJ - GLASSBORO WEST
189,67891414,118.029,Automatic,Gas,Front-wheel,2018 HYUNDAI SONATA SE,Hyundai,2018,TN - MEMPHIS
190,67980054,26.841,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED PLUS,Mazda,2024,FL - ORLANDO SOUTH
191,67980164,58.841,Automatic,Flexible,Front-wheel,2022 CHRYSLER PACIFICA TOURING L,Chrysler,2022,FL - ORLANDO SOUTH
192,68150174,27.089,Automatic,Gas,All,2023 TOYOTA RAV4 XLE,Toyota,2023,NJ - GLASSBORO WEST
193,68150214,22.088,Automatic,Gas,Front-wheel,2024 VOLKSWAGEN ATLAS SE,Volkswagen,2024,FL - ORLANDO SOUTH
194,68150264,30.035,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
195,68150274,25.867,Automatic,Gas,All,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,NJ - GLASSBORO WEST
196,68374504,88.904,Automatic,Flexible,Rear-wheel,2020 DODGE CHALLENGER SXT,Dodge,2020,AL - BIRMINGHAM
197,68391144,32.195,Automatic,Gas,All,2023 MAZDA CX-30 PREFERRED,Mazda,2023,NJ - GLASSBORO WEST
198,68391154,26.627,Automatic,Gas,Front-wheel,2023 CHEVROLET TRAILBLAZER LT,Chevrolet,2023,NJ - GLASSBORO WEST
199,68391194,31.475,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
